arm,seed,epoch,module,module_type,num_experts,top_k,gini,entropy_nats,entropy_normalized,top1_share,dominant_expert,aux_loss,aux_loss_finite,mixture_aux_loss,epoch_seconds
baseline,0,11,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7626233100891113,0.6880393624305725,0.3308769920383304,0.5504931375531297,1,5.401336669921875,True,2.4044625759124756,1.0501
baseline,0,11,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8816695213317871,0.6874426603317261,0.24794252923902435,0.5533558130264282,0,8.869551658630371,True,2.4044625759124756,1.0501
intervention,0,2,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.076992034912109,True,3.0,3.1546
intervention,0,2,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7588889598846436,0.6906166076660156,0.3321163850117732,0.5355557362900893,1,8.750555992126465,True,3.0,3.1546
intervention,0,2,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8799729347229004,0.6899784803390503,0.24885713297631276,0.5397830605506897,0,12.495221138000488,True,3.0,3.1546
intervention,0,3,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.0597381591796875,True,3.0,1.618
intervention,0,3,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7589278221130371,0.6905944347381592,0.33210572208741973,0.5357110340681364,1,8.764777183532715,True,3.0,1.618
intervention,0,3,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8795068264007568,0.6905450820922852,0.24906149136120048,0.536054686786374,0,12.64096736907959,True,3.0,1.618
intervention,0,4,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.129024028778076,True,3.0,1.0692
intervention,0,4,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.759406566619873,0.6903130412101746,0.33197040040496584,0.537626401711297,1,8.813690185546875,True,3.0,1.0692
intervention,0,4,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.881324291229248,0.6880188584327698,0.2481503487747607,0.550594286638328,0,12.709797859191895,True,3.0,1.0692
intervention,0,5,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.113715171813965,True,3.0,1.0217
intervention,0,5,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7603880167007446,0.689690113067627,0.331670835290938,0.5415520071983337,1,8.823966979980469,True,3.0,1.0217
intervention,0,5,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,0,12.639464378356934,True,3.0,1.0217
intervention,0,6,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.113009452819824,True,3.0,1.0673
intervention,0,6,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7609615325927734,0.6892973184585571,0.3314819410127403,0.5438458757446445,1,8.868450164794922,True,3.0,1.0673
intervention,0,6,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8808417320251465,0.6887727975845337,0.24842227484360616,0.5467334389686584,0,12.675552368164062,True,3.0,1.0673
intervention,0,7,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.089739799499512,True,3.0,1.0161
intervention,0,7,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.761075496673584,0.6892167329788208,0.3314431875887459,0.5443017482757568,1,8.86662483215332,True,3.0,1.0161
intervention,0,7,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8813991546630859,0.6878962516784668,0.2481061277356576,0.551194386219811,0,12.800589561462402,True,3.0,1.0161
intervention,0,8,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.16387414932251,True,3.0,1.037
intervention,0,8,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7604455947875977,0.689651608467102,0.33165231849219506,0.5417822437947319,1,8.886069297790527,True,3.0,1.037
intervention,0,8,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8819169998168945,0.6870104670524597,0.24778664846384857,0.5553359819848542,0,12.767867088317871,True,3.0,1.037
intervention,0,9,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.175137996673584,True,2.835686206817627,0.9998
intervention,0,9,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7610892057418823,0.6892069578170776,0.33143848672962234,0.5443566875351462,1,8.925658226013184,True,2.835686206817627,0.9998
intervention,0,9,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,0,12.689867973327637,True,2.835686206817627,0.9998
intervention,0,10,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.189039707183838,True,2.655616283416748,1.0536
intervention,0,10,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.761244535446167,0.689095675945282,0.33138497146142887,0.5449778437614441,1,8.932476043701172,True,2.655616283416748,1.0536
intervention,0,10,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.881179928779602,0.6882506608963013,0.24823395384091138,0.5494393110275269,0,12.800291061401367,True,2.655616283416748,1.0536
intervention,0,11,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,3,6.22121000289917,True,2.4956984519958496,1.076
intervention,0,11,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.7621414661407471,0.688422441482544,0.3310612141211796,0.5485658213068789,1,8.972396850585938,True,2.4956984519958496,1.076
intervention,0,11,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.8813591003417969,0.6879623532295227,0.24812996883063346,0.5508717134335126,0,12.766310691833496,True,2.4956984519958496,1.076
baseline,1,2,model.5,DetailAwareLowRankHybridAdaptiveGateMoE,4,2,0.75,-0.0,-0.0,1.0,2,2.839844226837158,True,3.0,1.0448
baseline,1,2,model.8,DetailAwareLowRankHybridAdaptiveGateMoE,8,2,0.875,-0.0,-0.0,1.0,6,5.707472801208496,True,3.0,1.0448
baseline,1,2,model.11,DetailAwareLowRankHybridAdaptiveGateMoE,16,2,0.9375,-0.0,-0.0,1.0,2,9.163278579711914,True,3.0,1.0448
