epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.35317,3.69587,5.82363,4.37621,3,0,0,0,0,3.5036,5.93604,4.16022,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,9.53053,2.72139,5.95386,4.49812,3,0,0,0,0,3.50342,5.93611,4.16134,0,8.01282e-06,8.01282e-06,8.01282e-06,4.00641e-06,1.60256e-05
3,14.7154,2.76056,5.72344,4.40566,3,0,0,0,0,3.50331,5.93646,4.16244,0,1.20931e-05,1.20931e-05,1.20931e-05,6.04657e-06,2.41863e-05
4,20.0694,3.52014,5.87983,4.26019,3,0,0,0,0,3.50317,5.93683,4.16354,0,1.5811e-05,1.5811e-05,1.5811e-05,7.90549e-06,3.1622e-05
5,25.2154,3.51122,6.087,4.3505,3,0,0,0,0,3.50306,5.93771,4.16461,0,1.91663e-05,1.91663e-05,1.91663e-05,9.58316e-06,3.83326e-05
6,30.6203,3.20504,5.88851,4.32163,3,0,0,0,0,3.50295,5.93872,4.16573,0,2.21592e-05,2.21592e-05,2.21592e-05,1.10796e-05,4.43183e-05
7,35.9433,2.90095,5.50763,4.23885,3,0,0,0,0,3.50284,5.93893,4.16695,0,2.47895e-05,2.47895e-05,2.47895e-05,1.23948e-05,4.95791e-05
8,41.1661,3.00278,5.5857,4.28328,3,0,0,0,0,3.50271,5.93909,4.16821,0,2.70574e-05,2.70574e-05,2.70574e-05,1.35287e-05,5.41148e-05
9,46.6262,2.9644,5.61351,4.32357,2.9753,0,0,0,0,3.50255,5.94018,4.16953,0,2.89628e-05,2.89628e-05,2.89628e-05,1.44814e-05,5.79255e-05
10,52.0915,3.90824,6.16725,4.59054,2.79228,0,0,0,0,3.50242,5.94026,4.17086,0,3.05057e-05,3.05057e-05,3.05057e-05,1.52528e-05,6.10113e-05
11,57.5716,3.26222,5.61222,4.30151,2.60774,0,0,0,0,3.50224,5.94,4.17229,0,3.1686e-05,3.1686e-05,3.1686e-05,1.5843e-05,6.33721e-05
12,62.647,3.20386,5.77895,4.30698,2.45876,0,0,0,0,3.5021,5.94019,4.17374,0,3.25039e-05,3.25039e-05,3.25039e-05,1.6252e-05,6.50079e-05
13,67.6858,3.04299,5.58797,4.2932,2.32778,0,0,0,0,3.50196,5.93979,4.17522,0,3.29593e-05,3.29593e-05,3.29593e-05,1.64797e-05,6.59187e-05
14,72.7519,2.82415,5.50268,4.28517,2.21086,0,0,0,0,3.50161,5.9398,4.17642,0,3.30523e-05,3.30523e-05,3.30523e-05,1.65261e-05,6.61045e-05
15,75.9409,2.99673,5.74264,4.39939,2.11343,0,0,0,0,3.50129,5.93961,4.17743,0,3.27827e-05,3.27827e-05,3.27827e-05,1.63913e-05,6.55653e-05
16,81.0623,3.10692,5.81236,4.27866,2.02209,0,0,0,0,3.50114,5.93921,4.17966,0,3.21506e-05,3.21506e-05,3.21506e-05,1.60753e-05,6.43012e-05
17,86.3447,2.77597,5.98541,4.47598,1.94911,0,0,0,0,3.5011,5.93898,4.18062,0,3.1156e-05,3.1156e-05,3.1156e-05,1.5578e-05,6.23121e-05
18,91.4938,3.01164,6.18399,4.38652,1.87753,0,0,0,0,3.50009,5.93908,4.18292,0,2.9799e-05,2.9799e-05,2.9799e-05,1.48995e-05,5.95979e-05
19,96.6677,2.65913,6.25749,4.42487,1.81319,0,0,0,0,3.4993,5.93851,4.18484,0,2.80794e-05,2.80794e-05,2.80794e-05,1.40397e-05,5.61588e-05
20,101.635,3.22991,5.69217,4.58555,1.75997,0,0,0,0,3.49924,5.94004,4.1827,0,2.59974e-05,2.59974e-05,2.59974e-05,1.29987e-05,5.19948e-05
21,106.76,2.48719,6.31483,4.39573,1.71199,0,0,0,0,3.50602,5.93927,4.18437,0,2.35528e-05,2.35528e-05,2.35528e-05,1.17764e-05,4.71057e-05
22,112.116,2.76428,6.20881,4.42712,1.66849,0,0,0,0,3.50481,5.9389,4.18324,0,2.07458e-05,2.07458e-05,2.07458e-05,1.03729e-05,4.14916e-05
23,117.351,2.80957,6.05909,4.36965,1.62829,0,0,0,0,3.49913,5.93586,4.18548,0,1.75763e-05,1.75763e-05,1.75763e-05,8.78815e-06,3.51526e-05
24,122.603,2.6196,6.45758,4.43618,1.59114,0,0,0,0,3.49747,5.93526,4.18468,0,1.40443e-05,1.40443e-05,1.40443e-05,7.02214e-06,2.80886e-05
25,127.986,2.95297,6.17251,4.37786,1.56018,0,0,0,0,3.48953,5.93652,4.18243,0,1.01498e-05,1.01498e-05,1.01498e-05,5.07489e-06,2.02996e-05
26,132.92,2.93991,6.05106,4.49866,1.52889,0,0,0,0,3.49394,5.93912,4.17853,0,5.72115e-06,5.72115e-06,5.72115e-06,2.86058e-06,1.14423e-05
