epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,1.85196,3.38865,5.72143,4.33182,3,0,0,0,0,3.50295,5.93691,4.15928,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,4.75494,2.98336,5.61829,4.38434,3,0,0,0,0,3.50265,5.93723,4.1597,0,7.64278e-06,7.64278e-06,7.64278e-06,3.82139e-06,1.52856e-05
3,9.84769,2.66458,6.22827,4.39794,3,0,0,0,0,3.50226,5.93781,4.16001,0,1.09302e-05,1.09302e-05,1.09302e-05,5.46508e-06,2.18603e-05
4,12.7679,2.69597,5.938,4.27585,3,0,0,0,0,3.50184,5.9385,4.16037,0,1.34321e-05,1.34321e-05,1.34321e-05,6.71606e-06,2.68642e-05
5,14.6072,2.43997,6.2733,4.52578,3,0,0,0,0,3.50133,5.94006,4.16081,0,1.51487e-05,1.51487e-05,1.51487e-05,7.57435e-06,3.02974e-05
6,16.2175,2.5572,5.99955,4.29992,3,0,0,0,0,3.50076,5.94153,4.16115,0,1.60799e-05,1.60799e-05,1.60799e-05,8.03994e-06,3.21597e-05
7,17.8747,2.62651,5.87201,4.46555,3,0,0,0,0,3.50014,5.94237,4.16153,0,1.62257e-05,1.62257e-05,1.62257e-05,8.11283e-06,3.24513e-05
8,19.6119,2.51387,6.14254,4.53949,3,0,0,0,0,3.49943,5.94364,4.16185,0,1.5586e-05,1.5586e-05,1.5586e-05,7.79301e-06,3.11721e-05
9,21.2527,2.91581,6.35085,4.50275,3,0,0,0,0,3.49876,5.94476,4.16212,0,1.4161e-05,1.4161e-05,1.4161e-05,7.0805e-06,2.8322e-05
10,22.9711,2.62502,6.71466,4.60192,2.92012,0,0,0,0,3.4981,5.94548,4.16224,0,1.19506e-05,1.19506e-05,1.19506e-05,5.97529e-06,2.39012e-05
11,24.6377,2.55905,6.15611,4.54931,2.72507,0,0,0,0,3.49721,5.94604,4.16265,0,8.95475e-06,8.95475e-06,8.95475e-06,4.47737e-06,1.79095e-05
12,26.3382,2.67947,6.21716,4.40907,2.55853,0,0,0,0,3.49624,5.94668,4.16287,0,5.17353e-06,5.17353e-06,5.17353e-06,2.58676e-06,1.03471e-05
