epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.36116,2.8481,5.74024,4.32615,3,0,0,0,0,3.50357,5.93601,4.16024,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,9.04769,3.29612,5.61837,4.25653,3,0,0,0,0,3.50338,5.93606,4.16139,0,7.64278e-06,7.64278e-06,7.64278e-06,3.82139e-06,1.52856e-05
3,13.9881,2.49715,5.88713,4.33909,3,0,0,0,0,3.50331,5.93649,4.1625,0,1.09302e-05,1.09302e-05,1.09302e-05,5.46508e-06,2.18603e-05
4,18.7254,2.5125,5.82617,4.41631,3,0,0,0,0,3.50323,5.93681,4.16353,0,1.34321e-05,1.34321e-05,1.34321e-05,6.71606e-06,2.68642e-05
5,23.8171,2.70814,5.99476,4.40773,3,0,0,0,0,3.50311,5.93743,4.16462,0,1.51487e-05,1.51487e-05,1.51487e-05,7.57435e-06,3.02974e-05
6,28.5693,2.91538,6.02498,4.40005,3,0,0,0,0,3.503,5.93846,4.16577,0,1.60799e-05,1.60799e-05,1.60799e-05,8.03994e-06,3.21597e-05
7,33.4853,2.65913,6.67705,4.28655,3,0,0,0,0,3.50289,5.93885,4.16695,0,1.62257e-05,1.62257e-05,1.62257e-05,8.11283e-06,3.24513e-05
8,38.4748,2.64513,6.13125,4.70189,3,0,0,0,0,3.50277,5.93873,4.16818,0,1.5586e-05,1.5586e-05,1.5586e-05,7.79301e-06,3.11721e-05
9,43.2319,2.78192,5.94401,4.50022,3,0,0,0,0,3.50264,5.93985,4.16949,0,1.4161e-05,1.4161e-05,1.4161e-05,7.0805e-06,2.8322e-05
10,47.9866,3.07029,6.17371,4.50665,2.92836,0,0,0,0,3.5025,5.93989,4.17083,0,1.19506e-05,1.19506e-05,1.19506e-05,5.97529e-06,2.39012e-05
11,53.5538,2.50127,6.05849,4.38073,2.73067,0,0,0,0,3.50234,5.93971,4.17215,0,8.95475e-06,8.95475e-06,8.95475e-06,4.47737e-06,1.79095e-05
12,58.2402,2.71022,5.85145,4.36382,2.56418,0,0,0,0,3.50215,5.93967,4.1736,0,5.17353e-06,5.17353e-06,5.17353e-06,2.58676e-06,1.03471e-05
