epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,1.5211,2.8481,5.74023,4.32615,3,0,0,0,0,3.50357,5.93601,4.16024,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,3.16212,3.29643,5.61627,4.25736,3,0,0,0,0,3.50338,5.93606,4.16139,0,7.64278e-06,7.64278e-06,7.64278e-06,3.82139e-06,1.52856e-05
3,4.93338,2.49612,5.89632,4.33746,3,0,0,0,0,3.50331,5.93649,4.1625,0,1.09302e-05,1.09302e-05,1.09302e-05,5.46508e-06,2.18603e-05
4,6.50403,2.5173,5.82134,4.42107,3,0,0,0,0,3.50323,5.93681,4.16353,0,1.34321e-05,1.34321e-05,1.34321e-05,6.71606e-06,2.68642e-05
5,8.27661,2.74282,6.07269,4.40628,3,0,0,0,0,3.50311,5.93744,4.16462,0,1.51487e-05,1.51487e-05,1.51487e-05,7.57435e-06,3.02974e-05
6,9.88905,2.92254,6.02134,4.37569,3,0,0,0,0,3.50299,5.93849,4.16577,0,1.60799e-05,1.60799e-05,1.60799e-05,8.03994e-06,3.21597e-05
7,11.5444,2.59621,6.70169,4.33659,3,0,0,0,0,3.50288,5.93883,4.16694,0,1.62257e-05,1.62257e-05,1.62257e-05,8.11283e-06,3.24513e-05
8,13.2799,2.69337,6.0786,4.46578,3,0,0,0,0,3.50277,5.93877,4.16817,0,1.5586e-05,1.5586e-05,1.5586e-05,7.79301e-06,3.11721e-05
9,14.9298,2.8172,5.89305,4.54586,2.97611,0,0,0,0,3.50264,5.93986,4.16948,0,1.4161e-05,1.4161e-05,1.4161e-05,7.0805e-06,2.8322e-05
10,16.5895,2.89383,5.99388,4.41545,2.79777,0,0,0,0,3.50251,5.93988,4.17081,0,1.19506e-05,1.19506e-05,1.19506e-05,5.97529e-06,2.39012e-05
11,18.3674,2.56797,5.72983,4.34457,2.61734,0,0,0,0,3.50235,5.93974,4.17211,0,8.95475e-06,8.95475e-06,8.95475e-06,4.47737e-06,1.79095e-05
12,20.0567,2.60365,5.7716,4.44118,2.46071,0,0,0,0,3.50216,5.93968,4.17354,0,5.17353e-06,5.17353e-06,5.17353e-06,2.58676e-06,1.03471e-05
