epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,1.49278,3.38874,5.72149,4.33178,3,0,0,0,0,3.50295,5.93691,4.15928,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,3.08303,2.98917,5.61474,4.36961,3,0,0,0,0,3.50265,5.93723,4.1597,0,7.64278e-06,7.64278e-06,7.64278e-06,3.82139e-06,1.52856e-05
3,4.82829,2.68403,6.23439,4.39138,3,0,0,0,0,3.50226,5.93781,4.16001,0,1.09302e-05,1.09302e-05,1.09302e-05,5.46508e-06,2.18603e-05
4,6.44666,2.70913,5.99538,4.32989,3,0,0,0,0,3.50183,5.93854,4.16037,0,1.34321e-05,1.34321e-05,1.34321e-05,6.71606e-06,2.68642e-05
5,8.18153,2.48022,6.29804,4.53038,3,0,0,0,0,3.50132,5.94008,4.16081,0,1.51487e-05,1.51487e-05,1.51487e-05,7.57435e-06,3.02974e-05
6,9.76119,2.55435,5.99301,4.40772,3,0,0,0,0,3.50074,5.94156,4.16114,0,1.60799e-05,1.60799e-05,1.60799e-05,8.03994e-06,3.21597e-05
7,11.3479,2.59684,6.20226,4.42003,3,0,0,0,0,3.50008,5.9424,4.1615,0,1.62257e-05,1.62257e-05,1.62257e-05,8.11283e-06,3.24513e-05
8,13.3218,2.55062,6.39288,4.48735,3,0,0,0,0,3.49936,5.94366,4.16182,0,1.5586e-05,1.5586e-05,1.5586e-05,7.79301e-06,3.11721e-05
9,15.1848,2.93086,6.24811,4.53161,2.96974,0,0,0,0,3.49867,5.94484,4.16208,0,1.4161e-05,1.4161e-05,1.4161e-05,7.0805e-06,2.8322e-05
10,17.1282,2.81281,6.33694,4.63862,2.78864,0,0,0,0,3.49798,5.94556,4.16248,0,1.19506e-05,1.19506e-05,1.19506e-05,5.97529e-06,2.39012e-05
11,18.7901,2.56552,6.1723,4.48165,2.60345,0,0,0,0,3.49702,5.94615,4.16263,0,8.95475e-06,8.95475e-06,8.95475e-06,4.47737e-06,1.79095e-05
12,20.43,2.58732,6.0509,4.43364,2.45187,0,0,0,0,3.49601,5.94673,4.16282,0,5.17353e-06,5.17353e-06,5.17353e-06,2.58676e-06,1.03471e-05
