epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.53583,3.38874,5.72149,4.33178,3,0,0,0,0,3.50295,5.93691,4.15928,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,9.77314,2.98917,5.61474,4.36961,3,0,0,0,0,3.50265,5.93723,4.1597,0,8.01282e-06,8.01282e-06,8.01282e-06,4.00641e-06,1.60256e-05
3,14.6623,3.17473,5.60793,4.26414,3,0,0,0,0,3.50225,5.93779,4.16002,0,1.20931e-05,1.20931e-05,1.20931e-05,6.04657e-06,2.41863e-05
4,19.5741,3.06816,5.67489,4.3045,3,0,0,0,0,3.50181,5.93866,4.16039,0,1.5811e-05,1.5811e-05,1.5811e-05,7.90549e-06,3.1622e-05
5,24.746,3.46055,5.49467,4.22532,3,0,0,0,0,3.50127,5.94027,4.16083,0,1.91663e-05,1.91663e-05,1.91663e-05,9.58316e-06,3.83326e-05
6,29.6801,3.23975,5.60952,4.25292,3,0,0,0,0,3.50062,5.9415,4.16119,0,2.21592e-05,2.21592e-05,2.21592e-05,1.10796e-05,4.43183e-05
7,34.6224,3.65438,5.76423,4.30271,3,0,0,0,0,3.49993,5.94233,4.16153,0,2.47895e-05,2.47895e-05,2.47895e-05,1.23948e-05,4.95791e-05
8,39.7511,3.29093,6.21149,4.35823,3,0,0,0,0,3.49914,5.94365,4.16184,0,2.70574e-05,2.70574e-05,2.70574e-05,1.35287e-05,5.41148e-05
9,44.6013,3.1333,5.43746,4.23657,2.96642,0,0,0,0,3.49837,5.94473,4.16209,0,2.89628e-05,2.89628e-05,2.89628e-05,1.44814e-05,5.79255e-05
10,49.4547,3.31119,5.86931,4.35454,2.78578,0,0,0,0,3.49754,5.94534,4.16248,0,3.05057e-05,3.05057e-05,3.05057e-05,1.52528e-05,6.10113e-05
11,51.3407,3.29703,5.9515,4.24963,2.59881,0,0,0,0,3.4965,5.94585,4.16263,0,3.1686e-05,3.1686e-05,3.1686e-05,1.5843e-05,6.33721e-05
12,54.4096,3.51984,5.64805,4.31929,2.44971,0,0,0,0,3.4956,5.94652,4.16274,0,3.25039e-05,3.25039e-05,3.25039e-05,1.6252e-05,6.50079e-05
13,59.5629,2.79034,6.48992,4.41454,2.31914,0,0,0,0,3.49457,5.94721,4.16295,0,3.29593e-05,3.29593e-05,3.29593e-05,1.64797e-05,6.59187e-05
14,64.5376,3.03616,5.50397,4.32385,2.20196,0,0,0,0,3.49346,5.94741,4.16312,0,3.30523e-05,3.30523e-05,3.30523e-05,1.65261e-05,6.61045e-05
15,68.247,3.42381,5.82158,4.26316,2.10757,0,0,0,0,3.49233,5.9479,4.16369,0,3.27827e-05,3.27827e-05,3.27827e-05,1.63913e-05,6.55653e-05
16,70.237,3.10096,5.44565,4.27155,2.0149,0,0,0,0,3.4915,5.94814,4.16298,0,3.21506e-05,3.21506e-05,3.21506e-05,1.60753e-05,6.43012e-05
17,72.0056,2.70604,6.39691,4.57774,1.94336,0,0,0,0,3.4893,5.95503,4.16553,0,3.1156e-05,3.1156e-05,3.1156e-05,1.5578e-05,6.23121e-05
18,75.9387,2.91935,6.09849,4.50443,1.87132,0,0,0,0,3.49023,5.94546,4.16614,0,2.9799e-05,2.9799e-05,2.9799e-05,1.48995e-05,5.95979e-05
19,81.095,2.98253,6.37117,4.64366,1.81292,0,0,0,0,3.4959,5.94441,4.1675,0,2.80794e-05,2.80794e-05,2.80794e-05,1.40397e-05,5.61588e-05
20,85.9372,2.58995,5.812,4.42586,1.75832,0,0,0,0,3.48691,5.94791,4.16816,0,2.59974e-05,2.59974e-05,2.59974e-05,1.29987e-05,5.19948e-05
21,90.6314,2.50235,5.92422,4.38425,1.70775,0,0,0,0,3.48615,5.9498,4.16709,0,2.35528e-05,2.35528e-05,2.35528e-05,1.17764e-05,4.71057e-05
22,95.5252,2.5634,5.85763,4.343,1.66456,0,0,0,0,3.4853,5.95209,4.16945,0,2.07458e-05,2.07458e-05,2.07458e-05,1.03729e-05,4.14916e-05
23,100.297,2.45732,5.97287,4.40093,1.62584,0,0,0,0,3.48423,5.95354,4.17062,0,1.75763e-05,1.75763e-05,1.75763e-05,8.78815e-06,3.51526e-05
24,105.129,3.09449,5.85488,4.39456,1.58925,0,0,0,0,3.48389,5.95807,4.17224,0,1.40443e-05,1.40443e-05,1.40443e-05,7.02214e-06,2.80886e-05
25,109.967,2.67442,6.17166,4.37271,1.55201,0,0,0,0,3.48701,5.96391,4.1735,0,1.01498e-05,1.01498e-05,1.01498e-05,5.07489e-06,2.02996e-05
26,114.871,2.58575,6.00138,4.59745,1.52464,0,0,0,0,3.49444,5.96261,4.17261,0,5.72115e-06,5.72115e-06,5.72115e-06,2.86058e-06,1.14423e-05
